no,province_id,province,district,hcode,year,hospital name,target_population,screened_total,screened_normal,screened_risk,care_total,assess_9q_normal,assess_9q_risk,assess_8q_normal,assess_8q_risk,care_counseling,care_referral,followup_normal,followup_risk_q12,followup_risk_q3,,,,,,,,
47,36,ชัยภูมิ,บำเหน็จณรงค์,04017,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโคกเริงรมย์,592,6,6,7,0,0,0,0,0,0,0,,,,,,,,,,,
48,36,ชัยภูมิ,บ้านเขว้า,77673,2569,ศูนย์สุขภาพชุมชนเมืองชัยภูมิ,345,0,,,,,,,,,,,,,,,,,,,,
49,36,ชัยภูมิ,บ้านเขว้า,03949,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลกุดยาง,654,421,421,12,0,0,0,0,0,0,0,,,,,,,,,,,
50,36,ชัยภูมิ,บ้านเขว้า,03948,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลคลองไผ่งาม,715,248,222,26,26,26,0,26,0,26,0,,,,,,,,,,,
51,36,ชัยภูมิ,บ้านเขว้า,03951,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกุดหูลิง,770,238,234,21,4,4,0,4,0,4,0,,,,,,,,,,,
52,36,ชัยภูมิ,บ้านเขว้า,03954,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังกำแพง,1033,1013,1013,0,0,0,0,0,0,0,0,,,,,,,,,,,
53,36,ชัยภูมิ,บ้านเขว้า,03950,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหลุบโพธิ์,905,90,90,4,0,0,0,0,0,0,0,,,,,,,,,,,
54,36,ชัยภูมิ,บ้านเขว้า,03956,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยน้ำคำ,291,0,,32,,,,,,,,,,,,,,,,,,
55,36,ชัยภูมิ,บ้านเขว้า,03955,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแก้งยาว,530,263,,1,,,,,,,,,,,,,,,,,,
56,36,ชัยภูมิ,บ้านเขว้า,03952,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนน้อย,356,952,932,20,20,20,0,20,0,20,0,,,,,,,,,,,
57,36,ชัยภูมิ,บ้านเขว้า,03953,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลป่าไม้แดง,194,4,1,4,3,3,0,3,0,3,0,,,,,,,,,,,
58,36,ชัยภูมิ,บ้านเขว้า,25020,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลยางนาดี,393,390,385,5,5,5,0,5,0,5,0,,,,,,,,,,,
59,36,ชัยภูมิ,บ้านแท่น,04056,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลดอนขิงแคง,565,421,369,52,,,,,,,,,,,,,,,,,,
60,36,ชัยภูมิ,บ้านแท่น,04052,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหลุบค่าย,566,538,514,24,,,,,,,,,,,,,,,,,,
61,36,ชัยภูมิ,บ้านแท่น,04055,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเต่า,923,668,617,51,,,,,,,,,,,,,,,,,,
62,36,ชัยภูมิ,บ้านแท่น,04054,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลสระพัง,1025,736,716,20,,,,,,,,,,,,,,,,,,
63,36,ชัยภูมิ,บ้านแท่น,04053,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลสามสวน,1553,1,1,29,,,,,,,,,,,,,,,,,,
64,36,ชัยภูมิ,บ้านแท่น,04057,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองคู,1295,924,881,46,,,,,,,,,,,,,,,,,,
65,36,ชัยภูมิ,ภักดีชุมพล,04083,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลคลองจันลา,252,2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,
66,36,ชัยภูมิ,ภักดีชุมพล,04087,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลถ้ำแก้ว,666,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
67,36,ชัยภูมิ,ภักดีชุมพล,04085,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาระยะ,568,9,9,0,0,0,0,0,0,0,0,,,,,,,,,,,
68,36,ชัยภูมิ,ภักดีชุมพล,04084,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านลาดชุมพล,653,7,6,16,1,1,0,1,0,1,0,,,,,,,,,,,
69,36,ชัยภูมิ,ภักดีชุมพล,04082,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเจียง,498,52,48,16,2,2,2,0,0,0,0,,,,,,,,,,,
70,36,ชัยภูมิ,ภักดีชุมพล,04086,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองตะเคียน,496,129,119,10,10,9,1,1,0,120,0,,,,,,,,,,,
71,36,ชัยภูมิ,ภูเขียว,04037,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลกวางโจน,617,68,65,3,3,2,1,1,0,1,0,,,,,,,,,,,
72,36,ชัยภูมิ,ภูเขียว,04046,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลกุดจอก,684,312,298,14,14,14,0,14,0,14,0,,,,,,,,,,,
73,36,ชัยภูมิ,ภูเขียว,04043,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลกุดยม,1080,347,345,2,0,0,0,0,0,0,0,,,,,,,,,,,
74,36,ชัยภูมิ,ภูเขียว,04051,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดอน,1016,4,4,2,0,0,0,0,0,0,0,,,,,,,,,,,
75,36,ชัยภูมิ,ภูเขียว,04050,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านธาตุ,238,3,3,32,0,0,0,0,0,0,0,,,,,,,,,,,
76,36,ชัยภูมิ,ภูเขียว,04038,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบัวพักเกวียน,982,19,19,42,0,0,0,0,0,0,0,,,,,,,,,,,
77,36,ชัยภูมิ,ภูเขียว,04040,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านมูลกระบือ,1363,63,61,27,2,2,0,2,0,0,0,,,,,,,,,,,
78,36,ชัยภูมิ,ภูเขียว,04042,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านลาด,1863,1117,1044,126,124,109,15,,2,18,0,,,,,,,,,,,
79,36,ชัยภูมิ,ภูเขียว,04039,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองบัวพรม,1329,0,,29,,,,,,,,,,,,,,,,,,
80,36,ชัยภูมิ,ภูเขียว,04041,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองแซง,1328,16,15,22,1,1,0,1,0,1,0,,,,,,,,,,,
81,36,ชัยภูมิ,ภูเขียว,04044,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเพชร,1700,4,4,2,0,0,0,0,0,0,0,,,,,,,,,,,
82,36,ชัยภูมิ,ภูเขียว,04049,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโอโล,2038,1549,1506,46,,,,,,,,,,,,,,,,,,
83,36,ชัยภูมิ,ภูเขียว,48854,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลฝายพญานาค,,50,48,0,2,2,0,2,0,0,,,,,,,,,,,,
84,36,ชัยภูมิ,ภูเขียว,04045,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลภูดิน,131,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
85,36,ชัยภูมิ,ภูเขียว,04047,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลแดงสว่าง,479,479,455,24,24,24,0,24,0,0,0,,,,,,,,,,,
86,36,ชัยภูมิ,ภูเขียว,04048,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโนนเสลา,1589,54,54,5,0,0,0,0,0,0,0,,,,,,,,,,,
87,36,ชัยภูมิ,หนองบัวระเหว,04024,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลตะลอมไผ่,132,0,,0,,,,,,,,,,,,,,,,,,
88,36,ชัยภูมิ,หนองบัวระเหว,04022,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลท่าโป่ง,569,0,,30,,,,,,,,,,,,,,,,,,
89,36,ชัยภูมิ,หนองบัวระเหว,04021,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลวังตะเฆ่,1015,15,15,68,0,0,0,0,0,0,0,,,,,,,,,,,
90,36,ชัยภูมิ,หนองบัวระเหว,04023,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยแย้,1016,111,100,41,11,11,0,11,0,11,0,,,,,,,,,,,
