no,province_id,province,district,hcode,year,hospital name,target_population,screened_total,screened_normal,screened_risk,care_total,assess_9q_normal,assess_9q_risk,assess_8q_normal,assess_8q_risk,care_counseling,care_referral,followup_normal,followup_risk_q12,followup_risk_q3
81,30,นครราชสีมา,ด่านขุนทด,02633,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองใหญ่,431,404,373,31,31,31,0,31,0,0,,,,
82,30,นครราชสีมา,ด่านขุนทด,02748,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหินดาด,1158,906,851,55,55,55,0,55,0,55,0,,,
83,30,นครราชสีมา,ด่านขุนทด,02631,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยจรเข้,1417,1417,1417,0,,,,,,,,,,
84,30,นครราชสีมา,ด่านขุนทด,02632,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยบง,512,258,250,8,8,8,0,8,0,8,,,,
85,30,นครราชสีมา,ด่านขุนทด,02635,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโนนเมืองพัฒนา,816,50,46,4,,,,,,,,,,
86,30,นครราชสีมา,บัวลาย,14249,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลคึมมะอุ,574,528,526,2,2,2,0,2,0,2,0,,,
87,30,นครราชสีมา,บัวลาย,02680,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบัวลาย,1264,1089,647,7,,,,,,,,,,
88,30,นครราชสีมา,บัวลาย,13833,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองแวง,600,579,570,9,9,9,0,9,0,9,0,,,
89,30,นครราชสีมา,บัวลาย,02690,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลเมืองพะไล,,0,,0,,,,,,,,,,
90,30,นครราชสีมา,บัวลาย,02685,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโนนจาน,1661,1120,1108,12,12,12,0,12,0,12,,,,
91,30,นครราชสีมา,บัวใหญ่,14829,2569,ศูนย์บริการสาธารณสุข ๑ เทศบาลเมืองบัวใหญ่,2179,3,3,0,,,,,,,,,,
92,30,นครราชสีมา,บัวใหญ่,99947,2569,ศูนย์สุขภาพชุมชนโรงพยาบาลบัวใหญ่,17,0,,,,,,,,,,,,
93,30,นครราชสีมา,บัวใหญ่,02676,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลคูขาด,858,294,291,13,13,13,0,13,0,13,0,,,
94,30,นครราชสีมา,บัวใหญ่,02672,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลดงบัง,1474,616,602,15,15,15,0,15,0,15,0,,,
95,30,นครราชสีมา,บัวใหญ่,02688,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลดอนคนทา,870,34,33,1,,,,,,,,,,
96,30,นครราชสีมา,บัวใหญ่,02678,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลดอนชุมช้าง,645,402,399,3,3,3,0,3,0,3,0,,,
97,30,นครราชสีมา,บัวใหญ่,02674,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลทองหลางน้อย,952,29,29,0,,,,,,,,,,
98,30,นครราชสีมา,บัวใหญ่,02675,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองพลวง,304,6,6,0,,,,,,,,,,
99,30,นครราชสีมา,บัวใหญ่,02683,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองเชียงโข่,856,91,89,2,,,,,,,,,,
100,30,นครราชสีมา,บัวใหญ่,02673,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองแจ้งน้อย,1079,48,48,0,,,,,,,,,,
101,30,นครราชสีมา,บัวใหญ่,02692,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองแจ้งใหญ่,1106,627,606,23,23,23,0,23,0,23,0,,,
102,30,นครราชสีมา,บัวใหญ่,02684,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโคกสะอาด,1345,683,677,6,,,,,,,,,,
103,30,นครราชสีมา,บัวใหญ่,02695,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโคกสี,729,0,,,,,,,,,,,,
104,30,นครราชสีมา,บัวใหญ่,02677,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโนนทองหลาง,1078,298,283,21,21,21,0,21,0,21,,,,
105,30,นครราชสีมา,บ้านเหลื่อม,02599,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลช่อระกา,778,493,488,6,6,6,0,6,0,6,,,,
106,30,นครราชสีมา,บ้านเหลื่อม,02598,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลตลุกพลวง,1021,37,34,3,,,,,,,,,,
107,30,นครราชสีมา,บ้านเหลื่อม,02596,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลวังโพธิ์,578,106,104,2,,,,,,,,,,
108,30,นครราชสีมา,บ้านเหลื่อม,02597,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโคกกระเบื้อง,561,72,70,2,,,,,,,,,,
109,30,นครราชสีมา,ประทาย,02700,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลคอกหมู,1129,40,40,0,,,,,,,,,,
110,30,นครราชสีมา,ประทาย,02696,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านประทาย,1170,50,44,6,,,,,,,,,,
111,30,นครราชสีมา,ประทาย,02698,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลสำโรง,1016,237,231,6,,,,,,,,,,
112,30,นครราชสีมา,ประทาย,02693,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลสี่เหลี่ยม,932,9,9,0,,,,,,,,,,
113,30,นครราชสีมา,ประทาย,02701,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหญ้าคา,1190,432,420,12,,,,,,,,,,
114,30,นครราชสีมา,ประทาย,02705,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองคู,888,0,,,,,,,,,,,,
115,30,นครราชสีมา,ประทาย,02702,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองช่างตาย,1118,858,796,63,63,63,0,63,0,63,0,,,
116,30,นครราชสีมา,ประทาย,02699,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหันห้วยทราย,1432,126,124,2,,,,,,,,,,
